科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
編譯器設計,4104005,01班,63,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2][4],所有班級,0,一次篩選,不支援,0,無,限資工系大三同學修習;限修人數63人。 &nbsp
編譯器設計,4104005,02班,63,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2][4],所有班級,0,一次篩選,不支援,0,無,限資工系大三同學修習;限修人數63人。 &nbsp
影像處理概論,4104011,01班,90,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,"開放大三大四選修 &nbsp"
網路安全概論,4104048,01班,90,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1],所有班級,0,一次篩選,不支援,0,無,開放資工系大二、大三、大四選修。 &nbsp
嵌入式系統軟體設計與實作,4104052,01班,15,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,開放大三大四選修，擋大一大二，限修15人 &nbsp
資料庫系統,4104061,01班,120,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1],所有班級,0,一次篩選,不支援,0,無,開放資工系大二、大三、大四選修。擋大一。 &nbsp
專題實驗（一）,4104800,01班,90,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,限多媒體訊號處理領域-柳金章教授、劉興民副教授、林維暘教授、劉偉名副教授、江振國副教授指導之專題生選修。 &nbsp
專題實驗（一）,4104800,02班,120,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,限計算機理論領域-李新林教授、吳昇副教授、黃耀廷教授、高孟駿助理教授指導之專題生選修。 &nbsp
專題實驗（一）,4104800,03班,65,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,限網路與數位學習領域-游寶達教授、黃仁竑教授、柯仁松副教授、江為國副教授、黃啟富副教授、林柏青副教授、連紹宇副教授、郭建志助理教授指導之專題生選修。 &nbsp
專題實驗（一）,4104800,04班,65,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,限SOC領域-張榮貴教授、陳鵬升副教授、鍾菁哲教授、林泰吉副教授指導之專題生選修。 &nbsp
