科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
華語語法教學設計,1011117,01班,45,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
華人社會與文化,1012001,01班,45,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
民眾劇場,1012404,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
音樂劇場的發展與變異,1012417,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
藝術賞析與創作技法表現,1013249,01班,45,無,無,無,無,無,無,0,一次篩選,不支援,0,無,藝術文物學分學程選修課程 &nbsp
亞洲藝術史,1013259,01班,60,無,無,無,無,無,無,0,一次篩選,不支援,0,無,藝術文物學分學程選修課程 &nbsp
詩選及習作（二）,1101212,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1101211)詩選及習作（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系學生修習 &nbsp
語言學概論,1101313,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
國學導讀（二）,1101412,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1101411)國學導讀（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系學生修習 &nbsp
文學概論（二）,1101812,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1101811)文學概論（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系學生修習 &nbsp
書道與日常應用,1101933,01班,40,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,無 &nbsp
文字學（二）,1102012,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1102011)文字學（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系之學生選修 &nbsp
篆刻藝術,1102044,01班,40,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,無 &nbsp
論語的哲學詮釋,1102163,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
曲選及習作,1102510,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,外系限輔系、雙主修中文系之學生選修 &nbsp
史傳名著選讀,1102615,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
歷代文選及習作（二）,1102712,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1102711)歷代文選及習作（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系之學生選修 &nbsp
道家文獻選讀,1102820,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
中國文學史（二）,1103022,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1103021)中國文學史（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系之學生選修 &nbsp
中國思想史（二）,1103112,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1103111)中國思想史（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系之學生選修 &nbsp
文學批評,1103225,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
聲韻學（二）,1103312,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1103311)聲韻學（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系之學生選修 &nbsp
古文字學,1103333,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
六朝志怪小說,1103521,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
讀詩品畫,1103740,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
臺灣文學,1103818,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
書寫、影像與編輯,1103913,01班,30,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,無 &nbsp
當代戲曲,1104146,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
編劇實作,1104158,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,(1102919)編劇基礎(曾經修習)(1103958)劇本創作實務（一）(曾經修習)(1103959)劇本創作實務（二）(曾經修習)(只要符合任一先修條件),無 &nbsp
經學史研究,1105493,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
傳統戲曲專題研究,1105723,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
物質文化專題研究,1105755,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
現代文學專題：愛慾、傷廢與暴力,1105924,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
俗文學專題研究,1105970,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
當代新儒家哲學研究,1106198,01班,無,無,無,無,無,無,無,0,不需篩選,碩士班課程,不支援,0,無
左傳學專題研究,1106414,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
英文作文（二）,1151018,01班,20,無,無,無,[文學院學士班][中文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,不支援,0,(1151017)英文作文（一）(及格)(所有先修條件都必須符合),無 &nbsp
英文作文（二）,1151018,02班,20,無,無,無,[文學院學士班][中文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,不支援,0,(1151017)英文作文（一）(及格)(所有先修條件都必須符合),無 &nbsp
英文作文（二）,1151018,03班,20,無,無,無,[文學院學士班][中文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,不支援,0,(1151017)英文作文（一）(及格)(所有先修條件都必須符合),無 &nbsp
西洋文學概論（二）,1151022,01班,35,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,無 &nbsp
西洋文學概論（二）,1151022,02班,35,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,無 &nbsp
法文（二）,1151024,01班,60,無,無,無,[文學院學士班][中文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,不支援,0,(1151023)法文（一）(及格)(所有先修條件都必須符合),無 &nbsp
德文（二）,1151026,01班,35,無,無,無,[文學院學士班][中文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,不支援,0,(1151025)德文（一）(及格)(所有先修條件都必須符合),無 &nbsp
