學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
文學院,中國文學研究所,1,1105041,01,論文寫作指導Academic Writing Seminar ,論文寫作指導,Academic Writing Seminar ,張書豪 ,1,1/0/0,1,必修, 二8,文學院201,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105041_01,
文學院,中國文學研究所,1,1105393,01,近代音專題研究Seminar on Early Modern Chinese Phonology ,近代音專題研究,Seminar on Early Modern Chinese Phonology ,曾若涵 ,3,3/0/0,3,選修," 四3,4,5",文學院201,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105393_01,
文學院,中國文學研究所,1,1105493,01,經學史研究Study of History of Chinese Classical Canons ,經學史研究,Study of History of Chinese Classical Canons ,張書豪 ,3,3/0/0,3,選修," 三4,5,6",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105493_01,
文學院,中國文學研究所,1,1105723,01,傳統戲曲專題研究Seminar of Traditional Opera ,傳統戲曲專題研究,Seminar of Traditional Opera ,王瓊玲 ,3,3/0/0,3,選修," 一10,11,12",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105723_01,
文學院,中國文學研究所,1,1105755,01,物質文化專題研究Topics on Material Culture ,物質文化專題研究,Topics on Material Culture ,毛文芳 ,3,3/0/0,3,選修," 二4,5,6",文學院201,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105755_01,
文學院,中國文學研究所,1,1105917,01,"地方體驗、敘事應用與數位化—地方知識與紀錄片製作Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making ",地方體驗、敘事應用與數位化—地方知識與紀錄片製作,"Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making ",江寶釵 童信智 ,3,3/0/0,3,選修," 二10,11,12",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105917_01," ,列入「戲劇‧創意‧想像」學分學程科目 ,列入本土語言與文化實踐學分學程科目"
文學院,中國文學研究所,1,1105924,01,現代文學專題：愛慾、傷廢與暴力Studies of Modern Literature: Eros．Disablement．Violence ,現代文學專題：愛慾、傷廢與暴力,Studies of Modern Literature: Eros．Disablement．Violence ,蕭義玲 ,3,3/0/0,3,選修," 一7,8,9",文學院201,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105924_01,
文學院,中國文學研究所,1,1105970,01,俗文學專題研究Issues in Folklore Studies ,俗文學專題研究,Issues in Folklore Studies ,楊玉君 ,3,3/0/0,3,選修," 四7,8,9",文學院201,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105970_01,
文學院,中國文學研究所,1,1106198,01,當代新儒家哲學研究Seminar of Contemporary Neo-Confucianism ,當代新儒家哲學研究,Seminar of Contemporary Neo-Confucianism ,賴柯助 ,3,3/0/0,3,選修," 四10,11,12",文學院202,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1106198_01,
文學院,中國文學研究所,1,1106414,01,左傳學專題研究Monographic  Studies  of  Zuo  Zhuan ,左傳學專題研究,Monographic  Studies  of  Zuo  Zhuan ,陳韻 ,3,3/0/0,3,選修," 三7,8,9",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1106414_01,
文學院,外國語文研究所,1,1155231,01,文學理論與應用Critical Theory and Practice (全英語授課/English-taught)  ,文學理論與應用 (全英語授課),Critical Theory and Practice (English-taught)  ,羅林 ,3,3/0/0,3,必修," 一7,8,9",文學院354,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1155231_01,
文學院,外國語文研究所,1,1155260,01,英國浪漫主義專題Topics of British Romanticism ,英國浪漫主義專題,Topics of British Romanticism ,林欣瑩 ,3,3/0/0,3,選修," 三4,5,6",文學院137,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1155260_01,
文學院,外國語文研究所,1,1155261,01,二十世紀英文小說專題Seminar in 20th Century English Fiction (全英語授課/English-taught)  ,二十世紀英文小說專題 (全英語授課),Seminar in 20th Century English Fiction (English-taught)  ,蔡美玉 ,3,3/0/0,3,選修," 二3,4,5",文學院355,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1155261_01,
文學院,外國語文研究所,1,1155262,01,驚悚小說與電影Horror Fiction and Films (全英語授課/English-taught)  ,驚悚小說與電影 (全英語授課),Horror Fiction and Films (English-taught)  ,游文嘉 ,3,3/0/0,3,選修," 二11,12,13",文學院281,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1155262_01,
文學院,歷史研究所,1,1205229,01,歷史名著選讀Selected Readings on Chinese History ,歷史名著選讀,Selected Readings on Chinese History ,雷家驥 ,3,3/0/0,3,必修," 四7,8,9",文學院212,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1205229_01,
文學院,歷史研究所,1,1205269,01,南宋告諭文研讀Discussion on the Government Announcements in Southern Song Dynasty ,南宋告諭文研讀,Discussion on the Government Announcements in Southern Song Dynasty ,楊宇勛 ,3,3/0/0,3,選修," 三7,8,9",文學院211,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1205269_01,
文學院,歷史研究所,1,1208032,01,戰後台灣文化史專題研究(二)Seminars on the Cultural History of the Postwar Taiwan (II)  ,戰後台灣文化史專題研究(二),Seminars on the Cultural History of the Postwar Taiwan (II)  ,張建俅 ,3,3/0/0,3,選修," 二10,11,12",文學院211,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1208032_01,
文學院,歷史研究所,1,1208059,01,中國中古社會史專題Seminar on the Social History of Medieval China ,中國中古社會史專題,Seminar on the Social History of Medieval China ,毛漢光 ,3,3/0/0,3,選修," 一8,9,10",文學院212,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1208059_01,
文學院,歷史研究所,1,1208109,01,東亞文明起源:神話與歷史專題The Myths and History of the Origin of East Asian Civilization ,東亞文明起源:神話與歷史專題,The Myths and History of the Origin of East Asian Civilization ,郭靜云 ,3,3/0/0,3,選修," 五3,4,5",文學院339,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1208109_01,
文學院,歷史研究所,1,1208309,01,明代經濟史專題研究Seminar on Ming Economic History ,明代經濟史專題研究,Seminar on Ming Economic History ,林燊祿 ,3,3/0/0,3,選修," 二3,4,5",文學院211,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1208309_01,
文學院,歷史研究所,1,1208979,01,漢魏六朝軍制史專題研究Seminar on the Military Institutions of Late Antiquity and Early Medieval China ,漢魏六朝軍制史專題研究,Seminar on the Military Institutions of Late Antiquity and Early Medieval China ,李昭毅 ,3,3/0/0,3,選修," 四13,14,15",文學院211,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1208979_01,
文學院,歷史研究所,1,1209522,01,台灣宗教社會史專題（二）Seminar on the History of Religious Society in Taiwan (II) ,台灣宗教社會史專題（二）,Seminar on the History of Religious Society in Taiwan (II) ,蘇全正 顏尚文 ,3,3/0/0,3,選修," 三7,8,9",文學院212,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1209522_01,
文學院,歷史研究所,1,1209859,01,古希臘宗教專題討論Seminar on Ancient Greek Religion ,古希臘宗教專題討論,Seminar on Ancient Greek Religion ,黃俊龍 ,3,3/0/0,3,選修," 一7,8,9",文學院339,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1209859_01,
文學院,歷史研究所,1,1209989,01,世界都會史與都市更新理論World Urban History and Urban Renewal Theory ,世界都會史與都市更新理論,World Urban History and Urban Renewal Theory ,郭秀鈴 ,3,3/0/0,3,選修," 二7,8,9",文學院212,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1209989_01,
文學院,歷史研究所,1,1209999,01,隋唐史料專題研究Seminars on the Historical Data in Shi & Tang Dynasties ,隋唐史料專題研究,Seminars on the Historical Data in Shi & Tang Dynasties ,朱振宏 ,3,3/0/0,3,選修," 一7,8,9",文學院211,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1209999_01,
文學院,哲學研究所,1,1255111,01,哲學基本問題討論（二）Basic Issues in Philosophy (II) ,哲學基本問題討論（二）,Basic Issues in Philosophy (II) ,金凱文 ,2,0/0/2,1,必修," 三9,10",文學院412,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1255111_01,
文學院,哲學研究所,1,1256268,01,功能優先知識論Function-first epistemology ,功能優先知識論,Function-first epistemology ,李國揚 ,3,3/0/0,3,選修," 四10,11,12",文學院509,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1256268_01,屬「知識論」領域。
文學院,哲學研究所,1,1256305,01,女性主義語言哲學Feminist philosophy of language ,女性主義語言哲學,Feminist philosophy of language ,吳秀瑾 ,3,3/0/0,3,選修," 二10,11,12",文學院408,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1256305_01,屬「心靈與語言哲學」領域或「倫理學與法政哲學」領域。
文學院,哲學研究所,1,1256348,01,科學實在論爭辯的另類取向Alternative Approaches to the Scientific Realism Debate ,科學實在論爭辯的另類取向,Alternative Approaches to the Scientific Realism Debate ,陳瑞麟 李國揚 ,3,3/0/0,3,選修," 二7,8,9",文學院509,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1256348_01,屬「科學史與科學哲學」領域或「形上學」領域。
文學院,哲學研究所,1,1256407,01,模態邏輯：語意與證明論Modal logic: semantics and proof theory ,模態邏輯：語意與證明論,Modal logic: semantics and proof theory ,王仁俊 ,3,3/0/0,3,選修," 三4,5,6",文學院408,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1256407_01,屬「數理邏輯與哲學邏輯」領域。
文學院,哲學研究所,1,1257402,01,模型論Model Theory ,模型論,Model Theory ,蔡行健 ,3,3/0/0,3,選修," 五3,4,5",文學院408,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1257402_01,屬「數理邏輯與哲學邏輯」領域。
文學院,哲學研究所,1,1257564,01,道德心理學專題：人格Seminar in Moral Psychology: Character ,道德心理學專題：人格,Seminar in Moral Psychology: Character ,張忠宏 ,3,3/0/0,3,選修," 四4,5,6",文學院408,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1257564_01,屬「倫理學與法政哲學」領域。
文學院,語言學研究所,1,1305002,01,音韻學Phonology (全英語授課/English-taught)  ,音韻學 (全英語授課),Phonology (English-taught)  ,麥傑 ,3,3/0/0,3,必修," 三8,9,10",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1305002_01," ,列入認知科學學程科目"
文學院,語言學研究所,1,1306569,01,Python與自然語言處理Python and Natural Language Processing ,,Python與自然語言處理Python and Natural Language Processing ,吳俊雄 ,3,3/0/0,3,選修," 五3,4,5",文學院306,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1306569_01,
文學院,語言學研究所,1,1306576,01,"南島語典藏復振與數位學習Austronesian language documentation, conservation, and e-Learning ",南島語典藏復振與數位學習,"Austronesian language documentation, conservation, and e-Learning ",何德華 ,3,3/0/0,3,選修," 一3,4,5",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1306576_01,
文學院,語言學研究所,1,1307004,01,台灣手語之詞彙與句法Lexicon and Syntax of Taiwan Sign Language ,台灣手語之詞彙與句法,Lexicon and Syntax of Taiwan Sign Language ,張榮興 ,3,3/0/0,3,選修," 二3,4,5",文學院306,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1307004_01,
文學院,語言學研究所,1,1307020,01,視覺語言學Visual Linguistics ,視覺語言學,Visual Linguistics ,戴浩一 ,3,3/0/0,3,選修," 二8,9,10",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1307020_01,
文學院,語言學研究所,1,1307038,01,語言評量Language Assessment ,語言評量,Language Assessment ,何德華 ,3,3/0/0,3,選修," 二3,4,5",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1307038_01,
文學院,語言學研究所,1,1307589,01,手語詞庫建置議題討論Issues on the Construction of Sign Bank ,手語詞庫建置議題討論,Issues on the Construction of Sign Bank ,蔡素娟 ,3,3/0/0,3,選修," 四3,4,5",文學院306,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1307589_01,僅限語言學研究所碩博生選修
文學院,語言學研究所,1,1307650,01,高級語法學Advanced Syntax (全英語授課/English-taught)  ,高級語法學 (全英語授課),Advanced Syntax (English-taught)  ,張寧 ,3,3/0/0,3,選修," 四3,4,5",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1307650_01,
文學院,語言學研究所,1,1307667,01,漢語結構Linguistic Structure of Chinese ,漢語結構,Linguistic Structure of Chinese ,張寧 ,3,3/0/0,3,必修," 三3,4,5",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1307667_01,
文學院,語言學研究所,1,1309400,01,心理語言學專題討論Psycholinguistics Seminar (全英語授課/English-taught)  ,心理語言學專題討論 (全英語授課),Psycholinguistics Seminar (English-taught)  ,麥傑 ,3,3/0/0,3,選修," 一8,9,10",文學院413,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1309400_01,
文學院,英語教學研究所,1,1365006,01,研究方法Research Methods (全英語授課/English-taught)  ,研究方法 (全英語授課),Research Methods (English-taught)  ,陳月妙 ,3,3/0/0,3,必修," 三4,5,6",文學院355,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1365006_01,
文學院,英語教學研究所,1,1365032,01,英語教學語法English Grammar for ESL/EFL Teachers (全英語授課/English-taught)  ,英語教學語法 (全英語授課),English Grammar for ESL/EFL Teachers (English-taught)  ,林惠玲 ,3,3/0/0,3,選修," 四7,8,9",文學院354,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1365032_01,
文學院,英語教學研究所,1,1365049,01,科技輔助語言教學Technology-assisted Language Learning (全英語授課/English-taught)  ,科技輔助語言教學 (全英語授課),Technology-assisted Language Learning (English-taught)  ,陳玟君 ,3,3/0/0,3,選修," 三7,8,9",文學院354,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1365049_01,
文學院,英語教學研究所,1,1365050,01,課程設計與教材評估Course Design and Material Evaluation (全英語授課/English-taught)  ,課程設計與教材評估 (全英語授課),Course Design and Material Evaluation (English-taught)  ,鄭英雪 ,3,3/0/0,3,選修," 二8,9,10",文學院355,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1365050_01,
文學院,台灣文學與創意應用研究所,1,1405169,01,"女性、文化與消費Female, Culture and Consumption ",女性、文化與消費,"Female, Culture and Consumption ",方慧臻 ,3,3/0/0,3,選修," 二3,4,5",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1405169_01,
文學院,台灣文學與創意應用研究所,1,1405183,01,客家文學與文化Hakka Literature and culture ,客家文學與文化,Hakka Literature and culture ,楊智景 ,3,3/0/0,3,選修," 五4,5,6",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1405183_01,
文學院,台灣文學與創意應用研究所,1,1405224,01,台語詩的創意與應用Creativity and Application for Taiwanese Poetry ,台語詩的創意與應用,Creativity and Application for Taiwanese Poetry ,李勤岸 ,3,3/0/0,3,選修," 二7,8,9",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1405224_01," ,列入本土語言與文化實踐學分學程科目"
文學院,台灣文學與創意應用研究所,1,1405228,01,"地方體驗、敘事應用與數位化—地方知識與紀錄片製作Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making ",地方體驗、敘事應用與數位化—地方知識與紀錄片製作,"Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making ",江寶釵 童信智 ,3,3/0/0,3,選修," 二10,11,12",文學院202,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1405228_01," ,列入「戲劇‧創意‧想像」學分學程科目 ,列入本土語言與文化實踐學分學程科目"
文學院,台灣文學與創意應用研究所,1,1405230,01,臺灣文學日文文獻選讀Selected Japanese Readings of Taiwan Literature ,臺灣文學日文文獻選讀,Selected Japanese Readings of Taiwan Literature ,楊智景 ,2,2/0/0,2,選修," 四4,5",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1405230_01,修過台文創應所日文（一）（二），或具同等日語能力之碩士班學生
文學院,台灣文學與創意應用研究所,1,1405231,01,臺灣電影史專題Seminar on History of Taiwan Cinema ,臺灣電影史專題,Seminar on History of Taiwan Cinema ,王萬睿 ,3,3/0/0,3,選修," 四7,8,9",文學院004-1室,15,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1405231_01,
文學院,台灣文學與創意應用研究所,1,1406117,01,論文寫作（二）Thesis writing (II) ,論文寫作（二）,Thesis writing (II) ,楊智景 李知灝 王萬睿 方慧臻 浦忠勇 ,2,0/0/2,0,必修," 三4,5",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1406117_01,二年級必修
文學院,台灣文學與創意應用研究所,1,1406122,01,語言研習（英文二）English Language Studies (II) ,語言研習（英文二）,English Language Studies (II) ,劉亮延 ,2,0/0/2,1,必修," 五7,8",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1406122_01,
文學院,台灣文學與創意應用研究所,1,1406132,01,語言研習（日文二）Japanese Language Studies (II) ,語言研習（日文二）,Japanese Language Studies (II) ,楊智景 ,2,0/0/2,1,必修," 三8,9",文學院004-2室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1406132_01,
文學院,台灣文學與創意應用研究所,1,1406152,01,"田野調查、文獻整理與資訊化（二） Field Work, Documentation Management and Computerize (II) ",田野調查、文獻整理與資訊化（二） ,"Field Work, Documentation Management and Computerize (II) ",劉亮延 童信智 ,3,0/0/3,1,必修," 三10,11,12",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1406152_01,一年級必修
文學院,台灣文學與創意應用研究所,1,1406170,01,"文字、影像與策展專題Topics on Words, Images and Curatorial ",文字、影像與策展專題,"Topics on Words, Images and Curatorial ",劉亮延 ,3,3/0/0,3,選修," 四10,11,12",文學院004-1室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1406170_01," ,列入本土語言與文化實踐學分學程科目"
理學院,理學院碩士班,1,2015008,01,高等孢粉與環境Palynology and Environment (全英語授課/English-taught)  ,高等孢粉與環境 (全英語授課),Palynology and Environment (English-taught)  ,汪良奇 ,3,3/0/0,3,選修," 四C,D",地震館107,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2015008_01," ,列入自然科學與材料生物科技全英文學分學程科目自然科學與材料生物科技全英文學分學程"
理學院,理學院碩士班,1,2015009,01,高等環境土壤學Advanced environmental  and soil sciences (全英語授課/English-taught)  ,高等環境土壤學 (全英語授課),Advanced environmental  and soil sciences (English-taught)  ,陳建易 ,3,3/0/0,3,選修," 二2,3,4",數學館106,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2015009_01," ,列入自然科學與材料生物科技全英文學分學程科目自然科學與材料生物科技全英文學分學程"
理學院,應用數學研究所,1,2105521,01,數值線性代數Numerical Linear Algebra ,數值線性代數,Numerical Linear Algebra ,賴振耀 ,3,3/0/0,3,選修, 二C 四C,數學館312,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2105521_01,
理學院,應用數學研究所,1,2105535,01,高性能科學運算High Performance Scientific Computing ,高性能科學運算,High Performance Scientific Computing ,陳孟豁 ,3,3/0/0,3,選修, 一E 三E,數學館307B,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2105535_01,
理學院,應用數學研究所,1,2106531,01,應用數學方法專題Selected Topics on the Methods of Applied Mathimatics ,應用數學方法專題,Selected Topics on the Methods of Applied Mathimatics ,尤玲凰 ,3,3/0/0,3,選修, 一B 三B,數學館307B,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2106531_01,
理學院,應用數學研究所,1,2108804,01,論文選讀Literature Readings ,論文選讀,Literature Readings ,黃博峙 ,2,2/0/0,2,必修," 一8,9",數學館312,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2108804_01,
理學院,地震研究所,1,2155010,01,數位訊號處理Digital Signal Processing ,數位訊號處理,Digital Signal Processing ,黃蕙珠 ,3,3/0/0,3,必修," 四3,4,5",地震館301,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155010_01,博士班必修，碩士班選修
理學院,地震研究所,1,2155012,01,觀測地震學The Seismological Observatury ,觀測地震學,The Seismological Observatury ,陳朝輝 ,3,3/0/0,3,選修," 一8,9,10",地震館305,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155012_01,
理學院,地震研究所,1,2155018,01,斷層與斷層力學Faults and Mechanics of Faulting ,斷層與斷層力學,Faults and Mechanics of Faulting ,王維豪 ,3,3/0/0,3,選修," 三3,4,5",地震館301,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155018_01,
理學院,地震研究所,1,2155022,01,震測資料處理Seismic Data Processing ,震測資料處理,Seismic Data Processing ,石瑞銓 ,3,3/0/0,3,選修," 二10,11,12",地震館301,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155022_01,先修科目(2155021)震波測勘學(及格) 碩博合開
理學院,地震研究所,1,2155026,01,電腦製圖與應用Computer charting and application (程式設計相關/Programming related) ,電腦製圖與應用 (程式設計相關),Computer charting and application (Programming related) ,温士忠 ,2,2/0/0,2,選修," 四10,11",地震館301,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155026_01,碩班課程，開放大三四選修
理學院,地震研究所,1,2155031,01,工程地震學Engineering Seismology ,工程地震學,Engineering Seismology ,黃蕙珠 ,3,3/0/0,3,選修," 五10,11,12",地震館301,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155031_01,碩博選修
理學院,地震研究所,1,2155051,01,地球物理數學（一）Geophysical Mathematics (I) ,地球物理數學（一）,Geophysical Mathematics (I) ,陳映年 ,3,3/0/0,3,選修," 二3,4,5",地震館301,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155051_01,碩班課程，開放大三四選修
理學院,地震研究所,1,2155092,01,書報討論（二）Seminar (II) ,書報討論（二）,Seminar (II) ,温士忠 ,2,0/0/2,1,必修," 三7,8",地震館305,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155092_01,碩士班必修
理學院,地震研究所,1,2155094,01,書報討論（四）Seminar (IV) ,書報討論（四）,Seminar (IV) ,温士忠 ,2,0/0/2,1,必修," 三10,11",地震館305,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155094_01,碩士班必修
理學院,地震研究所,1,2155096,01,地震地質The Geology of Earthquake ,地震地質,The Geology of Earthquake ,郭昱廷 ,3,3/0/0,3,選修," 五3,4,5",地震館305,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155096_01,
理學院,地震研究所,1,2155101,01,地震層析成像原理與應用seismic tomography (程式設計相關/Programming related) ,地震層析成像原理與應用 (程式設計相關),seismic tomography (Programming related) ,温士忠 ,3,3/0/0,3,選修," 二7,8,9",地震館304,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155101_01,碩博選修，開放大三四選修
理學院,地震研究所,1,2155102,01,陣列地震學Array seismology ,陣列地震學,Array seismology ,陳映年 ,3,3/0/0,3,選修," 四7,8,9",地震館301,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2155102_01,碩博選修
理學院,地震研究所,1,2158001,01,書報討論（二）Seminar (II)：Advanced ,書報討論（二）,Seminar (II)：Advanced ,陳映年 ,2,0/0/2,1,必修," 三7,8",地震館304,0,博士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2158001_01,
理學院,物理研究所,1,2205020,01,統計力學Statistical Mechanics ,統計力學,Statistical Mechanics ,蔡炎熾 ,3,3/0/0,3,選修, 二G 四G,物理館307,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2205020_01,先修科目(2203041)熱統計物理學(60分以上) (博士班必修課程;碩士班選修課程)，開放大四學生選課。
理學院,物理研究所,1,2205041,01,電動力學（一）Electrodynamics (I) ,電動力學（一）,Electrodynamics (I) ,魏台輝 ,3,3/0/0,3,選修, 一C 三C,物理館307,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2205041_01,"先修科目(2202031)電磁學（一）(及格) (2202032)電磁學（二）(及格) (所有先修條件都必須符合)1.碩博合開，開放大四學生選課。2.大學部學生選課需經任課老師同意。"
理學院,物理研究所,1,2205052,01,量子力學（二）Quantum Mechanics (II) ,量子力學（二）,Quantum Mechanics (II) ,吳欣澤 ,3,3/0/0,3,選修, 二C 四C,物理館307,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2205052_01,先修科目(2203021)量子物理（一）(及格) (2203022)量子物理（二）(及格) (所有先修條件都必須符合)1.碩博合開，開放大四學生選課。2.大學部學生選課需經任課老師同意。
理學院,物理研究所,1,2205120,01,雷射物理Laser Physics ,雷射物理,Laser Physics ,林俊元 ,3,3/0/0,3,選修," 二7,8,9",物理館303,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2205120_01,
