學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
教育學院,犯罪防治研究所,1,3455003,01,犯罪學專題研究（二）Seminar on Criminology (II) ,犯罪學專題研究（二）,Seminar on Criminology (II) ,楊士隆 曾淑萍 ,3,3/0/0,3,必修," 三3,4,5",教育館601,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3455003_01,"碩班必修課程,限修過犯罪學專題研究(一)者修習"
教育學院,犯罪防治研究所,1,3455029,01,刑事司法專題研究Seminar on Criminal Justice ,刑事司法專題研究,Seminar on Criminal Justice ,楊士隆 曾淑萍 ,3,3/0/0,3,必修," 四3,4,5",教育二館653,0,博士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3455029_01,博班必修課程
教育學院,犯罪防治研究所,1,3455035,01,心理衡鑑專題研究Seminar on Psychological Assessment ,心理衡鑑專題研究,Seminar on Psychological Assessment ,許秋田 ,3,3/0/0,3,選修," 二7,8,9",教育館604,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3455035_01," ,列入司法心理碩士學分學程科目碩班選修課程"
教育學院,犯罪防治研究所,1,3455051,01,家庭暴力與性侵害專題研究Seminar on Family Violence & Sexual Assault ,家庭暴力與性侵害專題研究,Seminar on Family Violence & Sexual Assault ,鄭瑞隆 ,3,3/0/0,3,選修," 二3,4,5",教育館605,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3455051_01," ,列入司法心理碩士學分學程科目碩博合開課程"
教育學院,犯罪防治研究所,1,3455081,01,警察組織與管理Police Organization on Management ,警察組織與管理,Police Organization on Management ,廖福村 ,3,3/0/0,3,選修," 四7,8,9",教育館605,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3455081_01,碩班選修課程
教育學院,犯罪防治研究所,1,3456029,01,洗錢刑法專題研究Money laundering criminal Law ,洗錢刑法專題研究,Money laundering criminal Law ,馬躍中 ,3,3/0/0,3,選修," 三7,8,9",教育二館653,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456029_01,碩班選修課程
教育學院,犯罪防治研究所,1,3456032,01,犯罪控制與監獄學專題研究The Seminar on Crime Control and Corrections ,犯罪控制與監獄學專題研究,The Seminar on Crime Control and Corrections ,許華孚 ,3,3/0/0,3,選修," 四11,12,13",教育二館653,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456032_01,碩博合開課程
教育學院,犯罪防治研究所,1,3456037,01,多元文化與華人諮商專題研究Multicultural and Chinese  counseling (全英語授課/English-taught)  ,多元文化與華人諮商專題研究 (全英語授課),Multicultural and Chinese  counseling (English-taught)  ,邱獻輝 ,3,3/0/0,3,選修," 四7,8,9",教育二館653,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456037_01," ,列入司法心理碩士學分學程科目碩博合開課程"
教育學院,犯罪防治研究所,1,3456044,01,暴力行為的神經機制專題研究Seminar on Neural Mechanism of Violent Behavior ,暴力行為的神經機制專題研究,Seminar on Neural Mechanism of Violent Behavior ,陳巧雲 ,3,3/0/0,3,選修," 二3,4,5",教育二館653,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456044_01,碩班選修課程
教育學院,犯罪防治研究所,1,3456061,01,性侵者與親密暴力者處遇專題研究Seminar on Treatment of Sex Offenders and Intimate Abusers ,性侵者與親密暴力者處遇專題研究,Seminar on Treatment of Sex Offenders and Intimate Abusers ,林明傑 ,3,3/0/0,3,選修," 四11,12,13",教育館605,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456061_01," ,列入司法心理碩士學分學程科目碩博合開課程"
